,0,1,2,3,4,5,6,7,8,9
255,"91728 : Ehwald, Rudolf, 1847-1927"," 89684 : Merkel, Rudolf, 1811-1885",,,,,,,,
256,"89684 : Merkel, Rudolf, 1811-1885",,,,,,,,,
257,"91728 : Ehwald, Rudolf, 1847-1927"," 89684: Merkel, Rudolf, 1811-1885",,,,,,,,
258,"91728 : Ehwald, Rudolf, 1847-1927"," 89684 : Merkel, Rudolf, 1811-1885",,,,,,,,
259,"Klotz, Alfred, 1874-1956",,,,,,,,,
260,"Kohlmann, Philipp, 1842-1889"," 84045 : Baehrens, Emil, 1848-1888",,,,,,,,
261,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,,,,,
262,"Schenkl, Heinrich, 1859-1919"," Reisch, Emil, 1863-1933"," 91549 : Schenkl, Karl, 1827-1900",,,,,,,
263,"89530 : Jahnke, Richard, 1868-1933"," Kohlmann, Philipp, 1842-1889"," 84045 : Baehrens, Emil, 1848-1888",,,,,,,
264,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,,,,,
265,"91728 : Ehwald, Rudolf, 1847-1927"," 89684 : Merkel, Rudolf, 1811-1885",,,,,,,,
266,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,,,,,
267,nan,,,,,,,,,
268,nan,,,,,,,,,
269,nan,,,,,,,,,
270,nan,,,,,,,,,
271,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
272,"84174 : Schmitt, Johann Christoph",,,,,,,,,
273,"84177 : Schöne, Richard, 1840-1922",,,,,,,,,
274,"84098 : Hug, Arnold, 1832-1895",,,,,,,,,
275,"84189 : Wessner, Paul, 1870-1933",,,,,,,,,
276,"84189 : Wessner, Paul, 1870-1933",,,,,,,,,
277,nan,,,,,,,,,
278,nan,,,,,,,,,
279,"84133 : Plasberg, Otto, 1869-1924",,,,,,,,,
280,"89575 : Klotz, Reinhold, 1807-1870",,,,,,,,,
281,"84128 : Müller, Moritz, 1854-"," 84187 : Weissenborn, Wilhelm, 1803-1878",,,,,,,,
282,"84128 : Müller, Moritz, 1854-"," 84187 : Weissenborn, Wilhelm, 1803-1878",,,,,,,,
283,"84061 : Friedersdorff, F. (Franz), 1846-1911?"," 84126 : Müller, H. J."," 84118 : Luterbacher, Franz, 1850-1924"," 84190 : Wölfflin, Eduard von, 1831-1908"," 84128 : Müller, Moritz, 1854-",,,,,
284,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,,,,,
285,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,,,,,
286,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,,,,,
287,"84095 : Hertz, Martin",,,,,,,,,
288,"84097 : Hosius, Carl, 1866-1937"," 84095 : Hertz, Martin",,,,,,,,
289,nan,,,,,,,,,
290,"89575 : Klotz, Reinhold, 1807-1870",,,,,,,,,
291,"Hertlein, Friedrich Karl Gottlob, 1803-1880",,,,,,,,,
292,"91713 : Ribbeck, Otto, 1827-1898",,,,,,,,,
293,"Güthling, Otto, 1853-1931",,,,,,,,,
294,nan,,,,,,,,,
295,"84099 : Ihm, Max, 1863-1909",,,,,,,,,
296,nan,,,,,,,,,
297,nan,,,,,,,,,
298,nan,,,,,,,,,
299,"89530 : Jahnke, Richard, 1868-1933"," Kohlmann, Philipp, 1842-1889"," Klotz, Alfred, 1874-1956"," 84045 : Baehrens, Emil, 1848-1888",,,,,,
300,nan,,,,,,,,,
301,nan,,,,,,,,,
302,nan,,,,,,,,,
303,nan,,,,,,,,,
304,nan,,,,,,,,,
305,nan,,,,,,,,,
306,"89605 : Knöll, Pius",,,,,,,,,
307,"Schlee, Friedrich H., 1854-1913",,,,,,,,,
308,"84108 : Keil, Heinrich, 1822-1894",,,,,,,,,
309,"84116 : Lehnert, Georg, 1871-",,,,,,,,,
310,"89551 : Dombart, Bernhard, 1832-1907",,,,,,,,,
311,"91713 : Ribbeck, Otto, 1827-1898",,,,,,,,,
312,"89605 : Knöll, Pius",,,,,,,,,
313,"89551 : Dombart, Bernhard, 1832-1907",,,,,,,,,
314,"Rabe, Hugo",,,,,,,,,
315,"Helmreich, Georg, 1849-1921",,,,,,,,,
316,"Breysig, Alfred August Bernhard, 1831-1902",,,,,,,,,
317,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,,,,,
318,"91713 : Ribbeck, Otto, 1827-1898",,,,,,,,,
319,"Lüdtke, W. (Willy), 1875-"," Nissen, Theodor Karl Johannes, 1873-",,,,,,,,
320,"Helmreich, Georg, 1849-1921",,,,,,,,,
321,"Fox, Wilhelm, 1833-1925",,,,,,,,,
322,"Fox, Wilhelm, 1833-1925",,,,,,,,,
323,"84108 : Keil, Heinrich, 1822-1894",,,,,,,,,
324,"84092 : Hense, Otto, 1845-1931",,,,,,,,,
325,"Rabe, Hugo",,,,,,,,,
326,"Breysig, Alfred August Bernhard, 1831-1902",,,,,,,,,
327,"89551 : Dombart, Bernhard, 1832-1907",,,,,,,,,
328,"89551 : Dombart, Bernhard, 1832-1907",,,,,,,,,
329,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,,,,
330,"Hildebrandt, Paul",,,,,,,,,
331,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903"," Friedrich, Wilhelm",,,,,,,,
332,"84116 : Lehnert, Georg, 1871-",,,,,,,,,
333,"Hedicke, Edmund",,,,,,,,,
334,"Schmid, Theodor, 1798-1877"," Jahn, Johann Christian",,,,,,,,
335,"Hedicke, Edmund",,,,,,,,,
336,"84186 : Vollmer, Friedrich, 1867-1923",,,,,,,,,
337,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
338,"Jahn, Johann Christian",,,,,,,,,
339,"89601 : Holder, Alfred, 1840-1916"," Keller, Otto, 1838-1927",,,,,,,,
340,"89594 : Foss, Heinrich Eduard, 1805-1875",,,,,,,,,
341,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
342,"84141 : Rossbach, August, 1823-1898",,,,,,,,,
343,"84045 : Baehrens, Emil, 1848-1888",,,,,,,,,
344,"91731 : Frick, Karl, 1848-",,,,,,,,,
345,nan,,,,,,,,,
346,"84186 : Vollmer, Friedrich, 1867-1923",,,,,,,,,
347,"84045 : Baehrens, Emil, 1848-1888",,,,,,,,,
348,"Keller, Otto, 1838-1927",,,,,,,,,
349,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
350,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
351,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
352,"Vogel, Theodor, 1836-1912",,,,,,,,,
353,"84186 : Vollmer, Friedrich, 1867-1923",,,,,,,,,
354,"84142 : Roth, Karl Ludwig, 1790-1868",,,,,,,,,
355,"Flach, Hans",,,,,,,,,
356,"84190 : Wölfflin, Eduard von, 1831-1908",,,,,,,,,
357,"Schermann, Theodor, 1878-1922",,,,,,,,,
358,"Claussen, Johannes Diederich Detlef,1849-1929",,,,,,,,,
359,"Keller, Otto, 1838-1927"," 89601 : Holder, Alfred, 1840-1916",,,,,,,,
360,"Nauck, August, 1822-1892",,,,,,,,,
361,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
362,"Krüger, Gustav, 1837-1912",,,,,,,,,
363,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
364,"Hedicke, Edmund",,,,,,,,,
365,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
366,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
367,"Vogel, Theodor, 1836-1912",,,,,,,,,
368,"84141 : Rossbach, August, 1823-1898",,,,,,,,,
