Index,DLL Author,DLL Editors,DLL Works,Title,Place,Publisher,Date,Url,Publication Year,Num Pages,Number Of Volumes,Short Title,Series,Archive,Library Catalog,Manual Tags,Automatic Tags
https://catalog.hathitrust.org/Record/011589257,87395 : Gaius,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886;84104 : Kübler, Bernhard, 1859-1940;89616 : Seckel, Emil, 1864-1924",,Gai Institutionum commentarii quattuor: separatim ex Iurisprudentiae anteiustinianae reliquiis a Ph. Eduardo Huschke compositis.,Lipsiae,in aedibus B. G. Teubneri,1913,https://catalog.hathitrust.org/Record/011589257,1913,266 p.,,Gai Institutionum commentarii quattuor,,Hathi Trust,University of California,,
https://catalog.hathitrust.org/Record/011549444,,"91838 : Krueger, Paul, 1840-1926",,Fragmentum de jure fisci.,Lipsiae,in aedibus B. G. Teubneri,1868,https://catalog.hathitrust.org/Record/011549444,1868,22 p.,,,,Hathi Trust,Harvard University,,
https://catalog.hathitrust.org/Record/100192645,"45428 : Vegetius Renatus, Flavius","89607 : Lang, Carl, 1841-",,Flavi Vegeti Renati Epitoma rei militaris.,Lipsiae,in aedibus B. G. Teubneri,1885,https://catalog.hathitrust.org/Record/100192645,1885,255 p.,,,Bibliotheca scriptorum graecorum et romanorum Teubneriana. [S.r.],Hathi Trust,Harvard University,Early works to 1800; (OCoLC)fst01411636; Early works.; fast; Military art and science; (OCoLC)fst01020874; Military art and science.,
https://catalog.hathitrust.org/Record/100458322,70689 : Favonius Eulogius,"89601 : Holder, Alfred, 1840-1916",,Favonii Eulogii Disputatio de Somnio Scipionis,Lipsiae,in aedibus B. G. Teubneri,1901,https://catalog.hathitrust.org/Record/100458322,1901,47 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Columbia University,Pythagoras and Pythagorean school.; Symbolism of numbers.,
https://catalog.hathitrust.org/Record/100682275,"45112 : Ovid, 43 B.C.-17 A.D. or 18 A.D.","89684: Merkel, Rudolf, 1811-1885",,Fastorum libri VI: ex iterata R. Merkelii recognitione.,Lipsiae,in aedibus B. G. Teubneri,1901,https://catalog.hathitrust.org/Record/100682275,1901,,,,,HathiTrust,University of Minnesota,,
https://catalog.hathitrust.org/Record/100668892,45927 : Valerius Maximus,"89560 : Halm, Karl, 1809-1882",,Factorvm et dictorvm memorabilivm libri novem,Lipsiae,in aedibus Teubnerianis,1865,https://catalog.hathitrust.org/Record/100668892,1865,554 p.,,,,HathiTrust,University of Minnesota,,
https://catalog.hathitrust.org/Record/011665092,45927 : Valerius Maximus,"89675: Schullian, Dorothy M. (Dorothy May), 1906-1989;84102 : Kempf, Carolus, 1819-1894",,Factorum et dictorum memorabilium libri novem. Cum Iulii Paridis et Ianuarii Nepotiani epitomis.,Lipsiae,B. G. Teubner,1888,https://catalog.hathitrust.org/Record/011665092,1888,672 p.,,,,HathiTrust,Cornell University,,
https://catalog.hathitrust.org/Record/001808486,"44757 : Eutropius, active 4th century","84053 : Dietsch, Heinrich Rudolf, 1814-1875;89602 : Hultsch, Fridericus (Friedrich Otto), 1833-1906",,Eutropii Breviarium historiae romanae.,Lipsiae,sumptibus et typis B. G. Teubneri,1877,https://catalog.hathitrust.org/Record/001808486,1877,78 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,HathiTrust,University of Michigan,,
https://catalog.hathitrust.org/Record/011605184,"44757 : Eutropius, active 4th century","84053 : Dietsch, Heinrich Rudolf, 1814-1875;84046 : Baumgarten-Crusius, Detlev Carl Wilhelm, 1786-1845",,Eutropii Breviarium historiae romanae.,Lipsiae,sumptibus et typis B. G. Teubneri,1857,https://catalog.hathitrust.org/Record/011605184,1857,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,HathiTrust,Harvard University,,
https://catalog.hathitrust.org/Record/100639183,"44757 : Eutropius, active 4th century","84143 : Rühl, Franz, 1845-1916",,Eutropi Breviarium ad urbe condita,Lipsiae,in aedibus B. G. Teubneri,1919,https://catalog.hathitrust.org/Record/100639183,1919,90 p.,,,,HathiTrust,University of California,Rome; History.,
https://catalog.hathitrust.org/Record/100328250,,"89591 : Carter, Jesse Benedict, 1872-1917",,Epitheta deorvm qvae apvd poetas latinos legvntvr,Lipsiae,in aedibus B. G. Teubneri,1902,https://catalog.hathitrust.org/Record/100328250,1902,154 p.,,,,Hathi Trust,Harvard University,"Latin language; Dictionaries.; Epithets.; Mythology, Roman",
