Index,Author,Editor,DLL Work Authority Record(s),Title,Place,Publisher,Date,Url,Publication Year,Num Pages,Number Of Volumes,Short Title,Series,Archive,Library Catalog,Manual Tags,Automatic Tags
240,45884 : Phaedrus,"84127 : Müller, Lucian, 1836-1898",,Phaedri Avgvsti liberti Fabvlae Aesopiae,Lipsiae,B. G. Teubneri,1890,https://catalog.hathitrust.org/Record/001809445,1890,66 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University,,
243,45884 : Phaedrus,"84127 : Müller, Lucian, 1836-1898",,Phaedri Avgvsti Liberti Fabvlae Aesopiae,Lipsiae,B. G. Teubneri,1898,https://catalog.hathitrust.org/Record/008910835,1898,66 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Princeton University,,
375,45165 : Horace,"84186 : Vollmer, Friedrich, 1867-1923",,Q. Horati Flacci Carmina,Lipsiae,B. G. Teubneri,1913,https://catalog.hathitrust.org/Record/100629568,1913,288 p.,,,,Hathi Trust,University of Illinois at Urbana-Champaign,,
625,"89511 : Aratus, Solensis; 45784 : Germanicus Caesar","Breysig, Alfred August Bernhard, 1831-1902",,Germanici Caesaris Aratea,Lipsiae,B. G. Teubneri,1899,https://catalog.hathitrust.org/Record/006792420,1899,92 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana.Scriptores Romani,Hathi Trust,Indiana University,,
719,45254 : Livy,"84128 : Müller, Moritz, 1854-; 84187 : Weissenborn, Wilhelm, 1803-1878",,Titi Livi ab urbe condita libri,Lipsiae,B. G. Teubneri,1889,https://catalog.hathitrust.org/Record/009789882,1889,,6 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Virginia,Rome; History.,
722,45254 : Livy,"84187 : Weissenborn, Wilhelm, 1803-1878",,Titi Livi ab urbe condita libri,Lipsiae,B. G. Teubneri,1883,https://catalog.hathitrust.org/Record/003597466,1883,,2 v.,,,Hathi Trust,Harvard University,,
739,"45927 : Valerius Maximus; 44908 : Nepotianus, Januarius; 44930 : Paris, Julius","84102 : Kempf, Carolus, 1819-1894",,Valerii Maximi Factorvm et dictorvm memorabilivm: libri Novem,Lipsiae,B. G. Teubneri,1888,https://catalog.hathitrust.org/Record/100164125,1888,554 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,The Ohio State University,Rome; Civilization.; Social life and customs.,
745,"45078 : Nepos, Cornelius",,,Vitae: Post carolum halmium,Lipsiae,B. G. Teubneri,1898,https://catalog.hathitrust.org/Record/009035334,1898,118 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Princeton University,,
755,"45336 : Plautus, Titus Maccius","89571 : Fleckeisen, Alfred, 1820-1899",,T. Macci Plavti Comoediae,Lipsiae,B. G. Teubneri,1891,https://catalog.hathitrust.org/Record/001809466,1891,,2 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Michigan,,
8,"44757 : Eutropius, active 4th century","84053 : Dietsch, Heinrich Rudolf, 1814-1875; 84046 : Baumgarten-Crusius, Detlev Carl Wilhelm, 1786-1845",Breuiarium ab urbe condita (80507),"Eutropii Breviarium historiae romanae: editionem primam curavit Detl. C.G. Baumgarten-Crusius, alteram henricus Rudolfus Dietsch.",Lipsiae,B.G. Teubner,1865,https://catalog.hathitrust.org/Record/100676168,1865,78 p.,,,,HathiTrust,University of Minnesota,Rome; History.,
