Author,Editor,DLL Work Authority Record(s),Title,Place,Publisher,Date,Url,Publication Year,Num Pages,Number Of Volumes,Short Title,Series,Archive,Library Catalog,Manual Tags,Automatic Tags
"45034 : Minucius Felix, Marcus","Waltzing, Jean-Pierre, 1857-1929",Octavius (80916),M. Minucii Felicis Octavius,Lipsiae,in aedibus B. G. Teubneri,1912,https://catalog.hathitrust.org/Record/012324049,1912,76 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Cornell University,Apologetics; History; ca. 30-600; Early church,
"44935 : Justinus, Marcus Junianus","Gutschmid, Hermann Alfred freiherr von, 1831-1887; 84143 : Rühl, Franz, 1845-1916",Epitoma historiarum Philippicarum Pompei Trogi (80808),M. Iuniani Iustini Epitoma historiarum Philippecarum Pompei Trogi,Lipsiae,in aedibus B. G. Teubneri,1915,https://catalog.hathitrust.org/Record/100245441,1915,315 p.,,,,Hathi Trust,University of California,Ancient.; History,
45357 : Quintilian,"89560 : Halm, Karl, 1809-1882",Institutio Oratoria (81328),"M. Fabii Quintiliani Institutionis oratoriae, liber decimus.",Lipsiae,in aedibus B. G. Teubneri,1911,https://catalog.hathitrust.org/Record/100103889,1911,44 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,The Ohio State University,,
45357 : Quintilian,"89691 : Bonnell, Eduard, 1802-1877",Institutio Oratoria (81328),M. Fabii Quintiliani Institutionis oratoriae libri duodecim.,Lipsiae,in aedibus B. G. Teubneri,1896,https://catalog.hathitrust.org/Record/009789334,1896,,2 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Virginia,Oratory.,
45357 : Quintilian,"89691 : Bonnell, Eduard, 1802-1877",Institutio Oratoria (81328),M. Fabii Quintiliani Institutionis oratoriae libri duodecim.,Lipsiae,sumptibus et typis B. G. Teubneri,1854,https://catalog.hathitrust.org/Record/009786904,1854,,2 v.,,,Hathi Trust,University of Illinois at Urbana-Champaign,"Oratory.; Rhetoric, Ancient.",
45357 : Quintilian,"89691 : Bonnell, Eduard, 1802-1877",Institutio Oratoria (81328),M. Fabii Quintiliani Institutionis oratoriae libri duodecim: ad fidem codicum manu scriptorum,Lipsiae,in aedibus B. G. Teubneri,1922,https://catalog.hathitrust.org/Record/100165244,1922,,2 v.,,,Hathi Trust,The Ohio State University,Oratory.,
45357 : Quintilian,"Röhl, Hermann, 1851-1923; 89691 : Bonnell, Eduard, 1802-1877",,M. Fabii Quintiliani Institutionis oratoriae liber decimus.,Berlin,Weidmannsche Buchhandlung,1873,https://catalog.hathitrust.org/Record/001809681,1873,86 p.,,,,Hathi Trust,University of Michigan,COPIED TO NOT TEUBNER,
45357 : Quintilian,"Ritter, Constantin, 1859-1936",,M. Fabii Quintiliani declamationes quae supersunt CXLV,Lipsiae,in aedibus B. G. Teubneri,1884,https://catalog.hathitrust.org/Record/100370400,1884,524 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University,,
45357 : Quintilian,,,"M. Fabi Quintiliani Institutionis oratoriae, libri xii",Lipsiae,in aedibus B. G. Teubneri,1907,https://catalog.hathitrust.org/Record/100122101,1907,359 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,HathiTrust,Pennsylvania State University,,
45357 : Quintilian,"Radermacher, Ludwig, 1867-1952",,M. Fabi Quintiliani Institutionis oratoriae libri XII,Lipsiae,in aedibus B. G. Teubneri,1907,https://catalog.hathitrust.org/Record/100192531,1907,,2 v.,,,Hathi Trust,University of Illinois at Urbana-Champaign,,
"71474 : Muret, Marc-Antoine, 1526-1585","Frey, Joseph, 1834-1910",,M. Antonii Mureti Scripta selecta,Lipsiae,in aedibus B. G. Teubneri,1887,https://catalog.hathitrust.org/Record/100461419,1887,,2 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,HathiTrust,Columbia University,,
45030 : Lucan,"84097 : Hosius, Carl, 1866-1937",,M. Annaei Lvcani Belli civilis libri decem tertivm,Lipsiae,in aedibus B. G. Teubneri,1913,https://catalog.hathitrust.org/Record/007964555,1913,395 p.,,,,HathiTrust,University of Wisconsin - Madison,"Rome; History; Civil War, 49-45 B.C.; Pharsalus, Battle of, Farsala, Greece, 48 B.C.",
45030 : Lucan,"84097 : Hosius, Carl, 1866-1937",,M. Annaei Lvcani Belli civilis libri decem,Lipsiae,B.G. Teubner,1913,https://catalog.hathitrust.org/Record/100027658,1913,395 p.,,,,HathiTrust,University of Minnesota,,
"45336 : Plautus, Titus Maccius","45498 : Vallauri, Tommaso",,M. Accii Plavti Comoediae cvm adnotaionibvs et commentariis tomae Vallavrii.,Avgustae Tavrinorvm,ex Officina Regia,1873,https://catalog.hathitrust.org/Record/100740075,1873,576 p.,,,,Hathi Trust,University of Chicago,,
44546 : Apuleius,"84185: Vliet, Joannes van der, 1847-1902",,"Lveii Apvlei Madavrensis Apologia, sive De magia liber et Florida",Lipsiae,in aedibus B. G. Teubneri,1900,https://catalog.hathitrust.org/Record/001724802,1900,202 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,HathiTrust,Harvard University,Magic,
"84121 : Mayhoff, Karl, 1841-1914",,,Lucubrationum Plinianarum specimen ...publice defendet Carolus Mayhoff.,Vratislaviae,"Grass, Barth et Soc.",1865,https://catalog.hathitrust.org/Record/010102747,1865,54 p.,,,,HathiTrust,University of California,COPIED TO NOT TEUBNER,
45788 : Lactantius Placidus,"Deuerling, Andreas, 1838-1906",,Luctatii Placidi grammatici Glossae,Lipsiae,in aedibus B.G. Teubneri,1875,https://catalog.hathitrust.org/Record/101792997,1875,94 p.,,,,Hathi Trust,University of Illinois at Urbana-Champaign,etc.; Glossaries; Latin language; vocabularies,
44546 : Apuleius,"84091 : Helm, Rudolf Wilhelm Oskar, 1872-1966",,[Lucii] Apulei [Madaurensis] Opera quae supersunt. Rec. Rudolfus Helm. Vol. 1-3.,Lipsiae,in aedibus B. G. Teubneri,1903,https://catalog.hathitrust.org/Record/001724794,1903,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,HathiTrust,University of Illinois at Urbana-Champaign,,
