Ed1;Ed2;2;3;4;5
"89571 : Fleckeisen, Alfred, 1820-1899"
"89571 : Fleckeisen, Alfred, 1820-1899"
""
"84176 : Schöll, Fritz, 1850-1919;84089 : Goetz, Georg, 1849-1932"
"84176 : Schöll, Fritz, 1850-1919;84089 : Goetz, Georg, 1849-1932"
"84176 : Schöll, Fritz, 1850-1919;84089 : Goetz, Georg, 1849-1932"
"89571 : Fleckeisen, Alfred, 1820-1899"
"89530 : Jahnke, Richard, 1868-1933"
"84138 : Ritschl, Friedrich Wilhelm, 1806-1876"
"89571 : Fleckeisen, Alfred, 1820-1899"
"89571 : Fleckeisen, Alfred, 1820-1899"
"84176 : Schöll, Fritz, 1850-1919;84089 : Goetz, Georg, 1849-1932"
"84059 : Eussner, Adam, 1844-"
"84053 : Dietsch, Heinrich Rudolf, 1814-1875"
"84059 : Eussner, Adam, 1844-"
""
""
"84059 : Eussner, Adam, 1844-"
""
"89546 : Beck, J. W. (Jan Wibertus)"
""
"84121 : Mayhoff, Karl, 1841-1914;84101 : Jan, Ludwig von 1807-1869"
"84101 : Jan, Ludwig von 1807-1869"
""
"84121 : Mayhoff, Karl, 1841-1914"
"84121 : Mayhoff, Karl, 1841-1914;84101 : Jan, Ludwig von 1807-1869"
"84121 : Mayhoff, Karl, 1841-1914;84101 : Jan, Ludwig von 1807-1869"
"84108 : Keil, Heinrich, 1822-1894"
"84105 : Kukula, R. C. (Richard Cornelius), 1862-1919"
"84121 : Mayhoff, Karl, 1841-1914;84101 : Jan, Ludwig von 1807-1869"
"84108 : Keil, Heinrich, 1822-1894"
""
"84092 : Hense, Otto, 1845-1931"
"84190 : Wölfflin, Eduard von, 1831-1908;84104 : Kübler, Bernhard, 1859-1940"
"84143 : Rühl, Franz, 1845-1916"
"84190 : Wölfflin, Eduard von, 1831-1908"
"84134 : Peiper, Rudolf, 1834-1898"
"84134 : Peiper, Rudolf, 1834-1898"
"84106 : Heidenhain, Friedrich Jakob, 1845-1912"
